"*:Mini家用机","bn:商品编号","barcode:条形码","ibn:货号","col:品牌","col:销售价","col:商品名称","col:规格","col:重量","col:单位","col:可视状态"
"Mini家用机","BVN-M","","","东芝","11814.000","东芝新风全热交换器","东芝新风全热交换器","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M150HE","","11814.000","","VN-M150HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M250HE","","11935.000","","VN-M250HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M350HE","","12353.000","","VN-M350HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M500HE","","14828.000","","VN-M500HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M650HE","","15070.000","","VN-M650HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M800HE","","19041.000","","VN-M800HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M1000HE","","20977.000","","VN-M1000HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M1500HE","","44583.000","","VN-M1500HE","20000.000","","显示"
"Mini家用机","BVN-M","","B15#VN-M2000HE","","48191.000","","VN-M2000HE","20000.000","","显示"
"Mini家用机","BMMU-APWH","","","东芝","11341.000","东芝两面出风嵌入式","东芝两面出风嵌入式","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0072WH-C","","11341.000","","MMU-AP0072WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0092WH-C","","11539.000","","MMU-AP0092WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0122WH-C","","11858.000","","MMU-AP0122WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0152WH-C","","12199.000","","MMU-AP0152WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0182WH-C","","13893.000","","MMU-AP0182WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0242WH-C","","14377.000","","MMU-AP0242WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0272WH-C","","14388.000","","MMU-AP0272WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0302WH-C","","15598.000","","MMU-AP0302WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0362WH-C","","19580.000","","MMU-AP0362WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0482WH-C","","20537.000","","MMU-AP0482WH-C","20000.000","","显示"
"Mini家用机","BMMU-APWH","","B14#MMU-AP0562WH-C","","21934.000","","MMU-AP0562WH-C","20000.000","","显示"
"Mini家用机","BMMU-APYH","","","东芝","10912.000","东芝一面出风嵌入式","东芝一面出风嵌入式","20000.000","","显示"
"Mini家用机","BMMU-APYH","","B14#MMU-AP0074YH-C","","13222.000","","MMU-AP0074YH-C","20000.000","","显示"
"Mini家用机","BMMU-APYH","","B14#MMU-AP0094YH-C","","13453.000","","MMU-AP0094YH-C","20000.000","","显示"
"Mini家用机","BMMU-APYH","","B14#MMU-AP0124YH-C","","13838.000","","MMU-AP0124YH-C","20000.000","","显示"
"Mini家用机","BMMU-APYH","","B14#MMU-AP0154SH-C","","10912.000","","MMU-AP0154SH-C","20000.000","","显示"
"Mini家用机","BMMU-APYH","","B14#MMU-AP0184SH-C","","11132.000","","MMU-AP0184SH-C","20000.000","","显示"
"Mini家用机","BMMU-APYH","","B14#MMU-AP0244SH-C","","11781.000","","MMU-AP0244SH-C","20000.000","","显示"
